Materia,Total_Cupos,Total_Secciones,Residuos_Cupos,semestre_numerico,semestre_original
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,336,14,10,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,262,13,12,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,1161,29,205,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,887,22,38,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,181,9,12,4036,2018A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",100,5,11,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,80,4,19,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,229,11,23,4036,2018A
SISTEMAS BASADOS EN CONOCIMIENTO,90,3,20,4036,2018A
TEORIA DE LA COMPUTACION,272,9,19,4036,2018A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",91,3,7,4036,2018A
ADMINISTRACION DE BASES DE DATOS,125,5,-2,4037,2018B
ADMINISTRACION DE REDES,160,8,15,4037,2018B
ADMINISTRACION DE SERVIDORES,122,6,7,4037,2018B
ALGORITMIA,210,6,17,4037,2018B
ALMACENES DE DATOS (DATA WAREHOUSE),125,5,10,4037,2018B
BASES DE DATOS,270,8,31,4037,2018B
CLASIFICACION INTELIGENTE DE DATOS,120,4,13,4037,2018B
CONTROL DE PROYECTOS,209,8,74,4037,2018B
ESTADISTICA Y PROCESOS ESTOCASTICOS,561,16,46,4037,2018B
ESTRUCTURAS DE DATOS I,461,14,37,4037,2018B
ESTRUCTURAS DE DATOS II,315,9,34,4037,2018B
HIPERMEDIA,139,8,1,4037,2018B
INGENIERIA DE SOFTWARE I,270,9,79,4037,2018B
INGENIERIA DE SOFTWARE II,134,4,23,4037,2018B
MATEMATICA DISCRETA,561,14,73,4037,2018B
METODOS MATEMATICOS I,1160,29,240,4037,2018B
METODOS MATEMATICOS II,849,23,145,4037,2018B
MINERIA DE DATOS,120,4,8,4037,2018B
PROGRAMACION,1156,33,304,4037,2018B
PROGRAMACION PARA INTERNET,312,13,19,4037,2018B
SEGURIDAD DE LA INFORMACION,140,4,16,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,1137,50,342,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,252,10,20,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,365,15,3,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,312,13,27,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,1206,30,175,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,836,23,74,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,215,9,9,4037,2018B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",100,5,16,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,118,5,49,4037,2018B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,320,14,39,4037,2018B
SISTEMAS BASADOS EN CONOCIMIENTO,90,3,3,4037,2018B
TEORIA DE LA COMPUTACION,290,10,34,4037,2018B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",95,3,9,4037,2018B
ADMINISTRACION DE BASES DE DATOS,138,5,5,4038,2019A
ADMINISTRACION DE REDES,129,9,12,4038,2019A
ADMINISTRACION DE SERVIDORES,126,6,-5,4038,2019A
ALGORITMIA,234,6,14,4038,2019A
ALMACENES DE DATOS (DATA WAREHOUSE),115,5,4,4038,2019A
BASES DE DATOS,283,8,12,4038,2019A
CLASIFICACION INTELIGENTE DE DATOS,101,4,10,4038,2019A
CONTROL DE PROYECTOS,136,7,27,4038,2019A
ESTADISTICA Y PROCESOS ESTOCASTICOS,610,16,21,4038,2019A
ESTRUCTURAS DE DATOS I,451,14,45,4038,2019A
ESTRUCTURAS DE DATOS II,324,9,22,4038,2019A
FORMACION ESPECIALIZANTE SELECTIVA,0,1,0,4038,2019A
FORMACION OPTATIVA ABIERTA,0,1,0,4038,2019A
HIPERMEDIA,140,7,-4,4038,2019A
INGENIERIA DE SOFTWARE I,229,10,33,4038,2019A
INGENIERIA DE SOFTWARE II,108,4,8,4038,2019A
MATEMATICA DISCRETA,560,14,99,4038,2019A
METODOS MATEMATICOS I,1150,29,275,4038,2019A
METODOS MATEMATICOS II,876,23,131,4038,2019A
MINERIA DE DATOS,114,4,4,4038,2019A
PROGRAMACION,1280,32,430,4038,2019A
PROGRAMACION PARA INTERNET,324,15,38,4038,2019A
SEGURIDAD DE LA INFORMACION,124,4,4,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,1102,46,260,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,290,11,21,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,341,17,-2,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,308,14,12,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,1156,29,236,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,875,23,47,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,224,10,8,4038,2019A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",102,5,-4,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,100,5,9,4038,2019A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,298,15,24,4038,2019A
SISTEMAS BASADOS EN CONOCIMIENTO,82,3,2,4038,2019A
TEORIA DE LA COMPUTACION,331,10,22,4038,2019A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",106,3,10,4038,2019A
ADMINISTRACION DE BASES DE DATOS,120,5,-7,4039,2019B
ADMINISTRACION DE REDES,186,9,53,4039,2019B
ADMINISTRACION DE SERVIDORES,240,6,123,4039,2019B
ALGORITMIA,275,7,32,4039,2019B
ALMACENES DE DATOS (DATA WAREHOUSE),240,6,112,4039,2019B
BASES DE DATOS,286,8,33,4039,2019B
CLASIFICACION INTELIGENTE DE DATOS,144,4,33,4039,2019B
CONTROL DE PROYECTOS,264,7,135,4039,2019B
ESTADISTICA Y PROCESOS ESTOCASTICOS,612,17,53,4039,2019B
ESTRUCTURAS DE DATOS I,555,14,97,4039,2019B
ESTRUCTURAS DE DATOS II,390,10,75,4039,2019B
HIPERMEDIA,184,7,34,4039,2019B
INGENIERIA DE SOFTWARE I,360,9,140,4039,2019B
INGENIERIA DE SOFTWARE II,144,4,40,4039,2019B
MATEMATICA DISCRETA,649,15,104,4039,2019B
METODOS MATEMATICOS I,1142,29,253,4039,2019B
METODOS MATEMATICOS II,920,23,245,4039,2019B
MINERIA DE DATOS,160,4,35,4039,2019B
PROGRAMACION,1173,32,347,4039,2019B
PROGRAMACION PARA INTERNET,352,15,46,4039,2019B
SEGURIDAD DE LA INFORMACION,160,4,48,4039,2019B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,380,16,108,4039,2019B
